"Timestamp","SubscriptionId","SubscriptionName","TenantId","VaultName","VaultResourceId","ResourceGroupName","Location","VaultSku","EnableSoftDelete","EnablePurgeProtection","SoftDeleteRetentionDays","AccessModel","RbacEnabled","AccessPoliciesCount","RoleAssignmentsCount","RoleAssignmentsResolved","HasPrivateEndpoints","PrivateEndpointIds","PrivateEndpointCount","FirewallEnabled","AllowedIps","HasDiagnostics","DiagnosticSettings","DiagnosticDestinations","SecretsCount","CertificatesCount","KeysCount","TotalAssets","RecentlyRotatedCount","ManualRotationNeeded","NeverRotated","SecurityGapsCount","SecurityGapsSummary","QuickWinsCount","QuickWinsSummary","ComplianceScore","VaultScore","CISComplianceScore","NISTComplianceScore","ISOComplianceScore","MSComplianceScore","RiskLevel","PolicyCount","PolicyNames","ManagedIdentityType","ManagedIdentityIds","ManagedIdentityResolved","ResourceLockTypes","NetworkIpRules","NetworkVNetRuleIds","DiagnosticDestinationNames","SkuName","SecretRotationMostRecent","KeyRotationMostRecent","PermissionIssuesCount","Tags","JsonFilePath"
"2025-10-23T12:01:11.8935762-04:00","dc8b9d9c-0cf9-446c-9177-12921182f54a","1ci-preprod-metrics","","kv-pre-ghacts-clctr","/subscriptions/dc8b9d9c-0cf9-446c-9177-12921182f54a/resourceGroups/rg_ghactions-metrics-collector/providers/Microsoft.KeyVault/vaults/kv-pre-ghacts-clctr","rg_ghactions-metrics-collector","westus2","","False","False","","AccessPolicies","False","2","134","""""","False","","0","False","","True","","","0","0","0","0","0","0","0","1","Medium: Public network access enabled without private endpoints","5","Migrate to RBAC","100","100","0","0","0","0","Low Medium High","0","","","","NotReadable","","","","Microsoft.EventHub/Namespaces/AuthorizationRules:RootManageSharedAccessKey","NotReadable","NotReadable","NotReadable","0","{}","C:\Users\cregnier\OneDrive - Intel Corporation\Documents\KeyVaultGapAnalysis\VaultJson\dc8b9d9c-0cf9-446c-9177-12921182f54a_kv-pre-ghacts-clctr.json"
"2025-10-23T12:01:12.0066930-04:00","dc8b9d9c-0cf9-446c-9177-12921182f54a","1ci-preprod-metrics","","kv-adx-access","/subscriptions/dc8b9d9c-0cf9-446c-9177-12921182f54a/resourceGroups/rg-1ci-metrics-data-analytics/providers/Microsoft.KeyVault/vaults/kv-adx-access","rg-1ci-metrics-data-analytics","westus","","False","False","","RBAC","True","0","135","""""","True","","0","False","","True","","","0","0","0","0","0","0","0","0","","0","","100","100","0","0","0","0","Low Medium High","0","","","","NotReadable","","","","Microsoft.EventHub/Namespaces/AuthorizationRules:RootManageSharedAccessKey","NotReadable","NotReadable","NotReadable","0","{}","C:\Users\cregnier\OneDrive - Intel Corporation\Documents\KeyVaultGapAnalysis\VaultJson\dc8b9d9c-0cf9-446c-9177-12921182f54a_kv-adx-access.json"
"2025-10-23T12:01:12.0223322-04:00","9590a312-8cb4-433b-bf12-8897052f5d02","1ci-prod-metrics","","kv-azure2cyberark","/subscriptions/9590a312-8cb4-433b-bf12-8897052f5d02/resourceGroups/rg_azure2cyberark/providers/Microsoft.KeyVault/vaults/kv-azure2cyberark","rg_azure2cyberark","westus","","False","False","","Unknown","False","0","0","""""","False","","0","False","","True","","","0","0","0","0","0","0","0","1","Critical: No access control configured","0","","85","85","0","0","0","0","Medium High","0","","","","NotReadable","","","","Microsoft.EventHub/Namespaces/AuthorizationRules:RootManageSharedAccessKey","NotReadable","NotReadable","NotReadable","0","{}","C:\Users\cregnier\OneDrive - Intel Corporation\Documents\KeyVaultGapAnalysis\VaultJson\9590a312-8cb4-433b-bf12-8897052f5d02_kv-azure2cyberark.json"
"2025-10-23T12:01:12.1165405-04:00","feff5c33-098d-41a4-b715-45431385fdb4","1Source Pre-Production","","kvdevdiskencryptuswest","/subscriptions/feff5c33-098d-41a4-b715-45431385fdb4/resourceGroups/1SCM_Dev_VMs/providers/Microsoft.KeyVault/vaults/kvdevdiskencryptuswest","1SCM_Dev_VMs","westus","","False","False","","Unknown","False","0","0","""""","False","","0","False","","True","","","0","0","0","0","0","0","0","1","Critical: No access control configured","0","","85","85","0","0","0","0","Medium High","0","","","","NotReadable","","","","Microsoft.EventHub/Namespaces/AuthorizationRules:RootManageSharedAccessKey","NotReadable","NotReadable","NotReadable","0","{}","C:\Users\cregnier\OneDrive - Intel Corporation\Documents\KeyVaultGapAnalysis\VaultJson\feff5c33-098d-41a4-b715-45431385fdb4_kvdevdiskencryptuswest.json"
"2025-10-23T12:01:12.1292373-04:00","feff5c33-098d-41a4-b715-45431385fdb4","1Source Pre-Production","","SCM-InvKv-prewestus","/subscriptions/feff5c33-098d-41a4-b715-45431385fdb4/resourceGroups/1SCM_ResGroup_Inventory_pre_westus/providers/Microsoft.KeyVault/vaults/SCM-InvKv-prewestus","1SCM_ResGroup_Inventory_pre_westus","westus","","False","False","","Unknown","False","0","0","""""","False","","0","False","","True","","","0","0","0","0","0","0","0","1","Critical: No access control configured","0","","85","85","0","0","0","0","Medium High","0","","","","NotReadable","","","","Microsoft.EventHub/Namespaces/AuthorizationRules:RootManageSharedAccessKey","NotReadable","NotReadable","NotReadable","0","{}","C:\Users\cregnier\OneDrive - Intel Corporation\Documents\KeyVaultGapAnalysis\VaultJson\feff5c33-098d-41a4-b715-45431385fdb4_SCM-InvKv-prewestus.json"
"2025-10-23T12:01:12.1418374-04:00","feff5c33-098d-41a4-b715-45431385fdb4","1Source Pre-Production","","onesrcprvault","/subscriptions/feff5c33-098d-41a4-b715-45431385fdb4/resourceGroups/1sprtrigger-test/providers/Microsoft.KeyVault/vaults/onesrcprvault","1sprtrigger-test","westus","","False","False","","Unknown","False","0","0","""""","False","","0","False","","True","","","0","0","0","0","0","0","0","1","Critical: No access control configured","0","","85","85","0","0","0","0","Medium High","0","","","","NotReadable","","","","Microsoft.EventHub/Namespaces/AuthorizationRules:RootManageSharedAccessKey","NotReadable","NotReadable","NotReadable","0","{}","C:\Users\cregnier\OneDrive - Intel Corporation\Documents\KeyVaultGapAnalysis\VaultJson\feff5c33-098d-41a4-b715-45431385fdb4_onesrcprvault.json"
"2025-10-23T12:01:12.2425444-04:00","feff5c33-098d-41a4-b715-45431385fdb4","1Source Pre-Production","","test-key-vault-fgalind1","/subscriptions/feff5c33-098d-41a4-b715-45431385fdb4/resourceGroups/DefaultResourceGroup-WUS/providers/Microsoft.KeyVault/vaults/test-key-vault-fgalind1","DefaultResourceGroup-WUS","eastus","","False","False","","Unknown","False","0","0","""""","False","","0","False","","True","","","0","0","0","0","0","0","0","1","Critical: No access control configured","0","","85","85","0","0","0","0","Medium High","0","","","","NotReadable","","","","Microsoft.EventHub/Namespaces/AuthorizationRules:RootManageSharedAccessKey","NotReadable","NotReadable","NotReadable","0","{}","C:\Users\cregnier\OneDrive - Intel Corporation\Documents\KeyVaultGapAnalysis\VaultJson\feff5c33-098d-41a4-b715-45431385fdb4_test-key-vault-fgalind1.json"
"2025-10-23T12:01:12.2583654-04:00","feff5c33-098d-41a4-b715-45431385fdb4","1Source Pre-Production","","kvdiskencryptuswest","/subscriptions/feff5c33-098d-41a4-b715-45431385fdb4/resourceGroups/1scm_resgroup_pre_westus/providers/Microsoft.KeyVault/vaults/kvdiskencryptuswest","1scm_resgroup_pre_westus","westus","","False","False","","Unknown","False","0","0","""""","False","","0","False","","True","","","0","0","0","0","0","0","0","1","Critical: No access control configured","0","","85","85","0","0","0","0","Medium High","0","","","","NotReadable","","","","Microsoft.EventHub/Namespaces/AuthorizationRules:RootManageSharedAccessKey","NotReadable","NotReadable","NotReadable","0","{}","C:\Users\cregnier\OneDrive - Intel Corporation\Documents\KeyVaultGapAnalysis\VaultJson\feff5c33-098d-41a4-b715-45431385fdb4_kvdiskencryptuswest.json"
"2025-10-23T12:01:12.3669031-04:00","feff5c33-098d-41a4-b715-45431385fdb4","1Source Pre-Production","","SCM-VMKv-prewestus","/subscriptions/feff5c33-098d-41a4-b715-45431385fdb4/resourceGroups/1SCM_ResGroup_pre_westus/providers/Microsoft.KeyVault/vaults/SCM-VMKv-prewestus","1SCM_ResGroup_pre_westus","westus","","False","False","","Unknown","False","0","0","""""","False","","0","False","","True","","","0","0","0","0","0","0","0","1","Critical: No access control configured","0","","85","85","0","0","0","0","Medium High","0","","","","NotReadable","","","","Microsoft.EventHub/Namespaces/AuthorizationRules:RootManageSharedAccessKey","NotReadable","NotReadable","NotReadable","0","{}","C:\Users\cregnier\OneDrive - Intel Corporation\Documents\KeyVaultGapAnalysis\VaultJson\feff5c33-098d-41a4-b715-45431385fdb4_SCM-VMKv-prewestus.json"
"2025-10-23T12:01:12.3846288-04:00","feff5c33-098d-41a4-b715-45431385fdb4","1Source Pre-Production","","SCM-SgKvprewestus","/subscriptions/feff5c33-098d-41a4-b715-45431385fdb4/resourceGroups/1SCM_ResGroup_pre_westus/providers/Microsoft.KeyVault/vaults/SCM-SgKvprewestus","1SCM_ResGroup_pre_westus","westus","","False","False","","Unknown","False","0","0","""""","False","","0","False","","True","","","0","0","0","0","0","0","0","1","Critical: No access control configured","0","","85","85","0","0","0","0","Medium High","0","","","","NotReadable","","","","Microsoft.EventHub/Namespaces/AuthorizationRules:RootManageSharedAccessKey","NotReadable","NotReadable","NotReadable","0","{}","C:\Users\cregnier\OneDrive - Intel Corporation\Documents\KeyVaultGapAnalysis\VaultJson\feff5c33-098d-41a4-b715-45431385fdb4_SCM-SgKvprewestus.json"
